ID Empleado,Función,Departamento,Región,Educación,Género,Jornada,Modalidad,Fecha Contratación,Estatus,Fecha Baja
ADM-F-1584,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,9-nov-15,Activo,
ADM-F-159,Administrativa,Finanzas y Contabilidad,Chile,Grado,Femenino,Tiempo Completo,Remoto,1-ene-13,Inactivo,3-dic-17
ADM-F-1600,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,30-nov-15,Inactivo,8-oct-18
ADM-F-1662,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Remoto,19-ene-16,Activo,
ADM-F-1672,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,26-ene-16,Inactivo,24-may-20
ADM-F-1678,Administrativa,Finanzas y Contabilidad,Chile,Grado,Femenino,Tiempo Completo,Remoto,3-feb-16,Inactivo,19-sept-17
ADM-F-1685,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,8-feb-16,Activo,
ADM-F-1687,Administrativa,Finanzas y Contabilidad,Perú,Grado,Femenino,Tiempo Completo,Presencial,10-feb-16,Inactivo,7-jul-20
ADM-F-1688,Administrativa,Finanzas y Contabilidad,México,Posgrado,Femenino,Medio Tiempo,Presencial,14-feb-16,Inactivo,23-jun-20
ADM-F-1689,Administrativa,Finanzas y Contabilidad,México,Posgrado,Femenino,Parcial,Presencial,14-feb-16,Activo,
ADM-F-1713,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,11-mar-16,Inactivo,27-sept-18
ADM-F-1724,Administrativa,Finanzas y Contabilidad,Perú,Grado,Masculino,Tiempo Completo,Remoto,18-mar-16,Inactivo,2-oct-20
ADM-F-1729,Administrativa,Finanzas y Contabilidad,Uruguay,Grado,Femenino,Tiempo Completo,Presencial,24-mar-16,Inactivo,17-jul-17
ADM-F-1744,Administrativa,Finanzas y Contabilidad,México,Posgrado,Masculino,Medio Tiempo,Presencial,2-abr-16,Inactivo,5-dic-18
ADM-F-1747,Administrativa,Finanzas y Contabilidad,Perú,Grado,Femenino,Tiempo Completo,Presencial,8-abr-16,Activo,
ADM-F-1760,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Medio Tiempo,Remoto,21-abr-16,Activo,
ADM-F-1767,Administrativa,Finanzas y Contabilidad,México,Posgrado,Femenino,Medio Tiempo,Presencial,27-abr-16,Activo,
ADM-F-1777,Administrativa,Finanzas y Contabilidad,Uruguay,Grado,Femenino,Tiempo Completo,Presencial,12-may-16,Inactivo,3-jun-19
ADM-F-1780,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Medio Tiempo,Remoto,15-may-16,Inactivo,10-jul-20
ADM-F-179,Administrativa,Finanzas y Contabilidad,Perú,Grado,Masculino,Tiempo Completo,Presencial,1-ene-13,Inactivo,12-jun-18
ADM-F-1806,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Medio Tiempo,Presencial,5-jun-16,Activo,
ADM-F-1811,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Medio Tiempo,Remoto,11-jun-16,Activo,
ADM-F-1816,Administrativa,Finanzas y Contabilidad,Chile,Grado,Femenino,Tiempo Completo,Remoto,14-jun-16,Inactivo,20-sept-20
ADM-F-185,Administrativa,Finanzas y Contabilidad,Perú,Grado,Femenino,Tiempo Completo,Presencial,1-ene-13,Inactivo,5-ago-18
ADM-F-1850,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,9-jul-16,Inactivo,15-jun-17
ADM-F-1883,Administrativa,Finanzas y Contabilidad,Chile,Grado,Femenino,Tiempo Completo,Remoto,11-ago-16,Inactivo,2-sept-17
ADM-F-1884,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Medio Tiempo,Presencial,12-ago-16,Inactivo,27-jun-17
ADM-F-1891,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Medio Tiempo,Presencial,14-ago-16,Inactivo,18-oct-19
ADM-F-1916,Administrativa,Finanzas y Contabilidad,Chile,Grado,Femenino,Tiempo Completo,Presencial,13-sept-16,Activo,
ADM-F-1919,Administrativa,Finanzas y Contabilidad,Chile,Grado,Femenino,Tiempo Completo,Presencial,19-sept-16,Inactivo,20-nov-17
ADM-F-1944,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Medio Tiempo,Presencial,9-oct-16,Inactivo,2-sept-18
ADM-F-1971,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Remoto,30-oct-16,Activo,
ADM-F-1976,Administrativa,Finanzas y Contabilidad,Perú,Grado,Femenino,Tiempo Completo,Presencial,5-nov-16,Inactivo,23-ago-20
ADM-F-1996,Administrativa,Finanzas y Contabilidad,México,Posgrado,Femenino,Parcial,Presencial,23-nov-16,Inactivo,21-abr-19
ADM-F-2010,Administrativa,Finanzas y Contabilidad,México,Posgrado,Femenino,Parcial,Remoto,6-dic-16,Activo,
ADM-F-2041,Administrativa,Finanzas y Contabilidad,Perú,Grado,Femenino,Tiempo Completo,Presencial,29-dic-16,Activo,
ADM-F-2047,Administrativa,Finanzas y Contabilidad,Perú,Grado,Masculino,Tiempo Completo,Presencial,31-dic-16,Inactivo,22-mar-20
ADM-F-2048,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Medio Tiempo,Presencial,31-dic-16,Activo,
ADM-F-2049,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Medio Tiempo,Remoto,1-ene-17,Activo,
ADM-F-2050,Administrativa,Finanzas y Contabilidad,Uruguay,Grado,Femenino,Tiempo Completo,Presencial,2-ene-17,Inactivo,4-jul-20
ADM-F-2053,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Medio Tiempo,Presencial,7-ene-17,Activo,
ADM-F-2058,Administrativa,Finanzas y Contabilidad,Uruguay,Grado,Femenino,Tiempo Completo,Remoto,12-ene-17,Inactivo,4-feb-19
ADM-F-207,Administrativa,Finanzas y Contabilidad,Perú,Grado,Masculino,Tiempo Completo,Presencial,1-ene-13,Inactivo,17-may-19
ADM-F-2072,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Medio Tiempo,Presencial,1-feb-17,Inactivo,21-abr-18
ADM-F-2075,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,2-feb-17,Inactivo,21-ago-20
ADM-F-2085,Administrativa,Finanzas y Contabilidad,México,Posgrado,Masculino,Medio Tiempo,Remoto,13-feb-17,Inactivo,25-feb-20
ADM-F-2092,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Parcial,Presencial,22-feb-17,Inactivo,25-jul-17
ADM-F-2109,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Tiempo Completo,Presencial,16-mar-17,Inactivo,11-jun-20
ADM-F-2118,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Remoto,24-mar-17,Activo,
ADM-F-2126,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,31-mar-17,Inactivo,10-jul-20
ADM-F-2127,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Medio Tiempo,Presencial,31-mar-17,Activo,
ADM-F-2134,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Medio Tiempo,Remoto,4-abr-17,Inactivo,6-jun-17
ADM-F-2149,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Medio Tiempo,Presencial,17-abr-17,Activo,
ADM-F-2151,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Parcial,Presencial,21-abr-17,Activo,
ADM-F-2168,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Medio Tiempo,Remoto,11-may-17,Inactivo,13-mar-20
ADM-F-218,Administrativa,Finanzas y Contabilidad,Perú,Posgrado,Femenino,Tiempo Completo,Presencial,1-ene-13,Inactivo,11-oct-19
ADM-F-2189,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Remoto,5-jun-17,Activo,
ADM-F-22,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Parcial,Remoto,1-ene-13,Inactivo,2-dic-13
ADM-F-2202,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Medio Tiempo,Presencial,15-jun-17,Inactivo,12-jun-20
ADM-F-2208,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Tiempo Completo,Presencial,28-jun-17,Inactivo,16-oct-17
ADM-F-2219,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Medio Tiempo,Presencial,4-jul-17,Activo,
ADM-F-222,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Medio Tiempo,Remoto,1-ene-13,Activo,
ADM-F-2223,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Medio Tiempo,Remoto,8-jul-17,Inactivo,30-may-20
ADM-F-223,Administrativa,Finanzas y Contabilidad,Chile,Grado,Masculino,Medio Tiempo,Presencial,1-ene-13,Activo,
ADM-F-224,Administrativa,Finanzas y Contabilidad,Perú,Grado,Masculino,Medio Tiempo,Presencial,1-ene-13,Activo,
ADM-F-225,Administrativa,Finanzas y Contabilidad,Chile,Grado,Masculino,Medio Tiempo,Presencial,1-ene-13,Activo,
ADM-F-2251,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,28-jul-17,Activo,
ADM-F-226,Administrativa,Finanzas y Contabilidad,Perú,Grado,Masculino,Medio Tiempo,Remoto,1-ene-13,Activo,
ADM-F-227,Administrativa,Finanzas y Contabilidad,Perú,Grado,Masculino,Medio Tiempo,Remoto,1-ene-13,Activo,
ADM-F-2272,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Medio Tiempo,Presencial,18-ago-17,Inactivo,19-mar-20
ADM-F-2274,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,19-ago-17,Activo,
ADM-F-2276,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Medio Tiempo,Presencial,23-ago-17,Inactivo,15-dic-19
ADM-F-228,Administrativa,Finanzas y Contabilidad,Chile,Grado,Masculino,Tiempo Completo,Presencial,1-ene-13,Activo,
ADM-F-2285,Administrativa,Finanzas y Contabilidad,México,Posgrado,Femenino,Medio Tiempo,Remoto,27-ago-17,Activo,
ADM-F-2286,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Medio Tiempo,Presencial,28-ago-17,Activo,
ADM-F-229,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Tiempo Completo,Presencial,1-ene-13,Activo,
ADM-F-2291,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Medio Tiempo,Remoto,3-sept-17,Inactivo,13-jun-20
ADM-F-2296,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Tiempo Completo,Remoto,7-sept-17,Activo,
ADM-F-230,Administrativa,Finanzas y Contabilidad,Perú,Grado,Femenino,Medio Tiempo,Presencial,1-ene-13,Activo,
ADM-F-2305,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,12-sept-17,Activo,
ADM-F-231,Administrativa,Finanzas y Contabilidad,Uruguay,Grado,Femenino,Medio Tiempo,Presencial,1-ene-13,Activo,
ADM-F-232,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Parcial,Presencial,1-ene-13,Activo,
ADM-F-233,Administrativa,Finanzas y Contabilidad,Chile,Grado,Masculino,Tiempo Completo,Presencial,1-ene-13,Activo,
ADM-F-2333,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Medio Tiempo,Presencial,9-oct-17,Inactivo,2-abr-20
ADM-F-234,Administrativa,Finanzas y Contabilidad,Chile,Grado,Masculino,Tiempo Completo,Presencial,1-ene-13,Activo,
ADM-F-2341,Administrativa,Finanzas y Contabilidad,México,Posgrado,Masculino,Medio Tiempo,Remoto,15-oct-17,Activo,
ADM-F-235,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Tiempo Completo,Presencial,1-ene-13,Activo,
ADM-F-2352,Administrativa,Finanzas y Contabilidad,México,Posgrado,Femenino,Medio Tiempo,Presencial,28-oct-17,Inactivo,12-sept-20
ADM-F-236,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Medio Tiempo,Presencial,1-ene-13,Activo,
ADM-F-2361,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Tiempo Completo,Remoto,4-nov-17,Inactivo,18-jul-20
ADM-F-2364,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,9-nov-17,Activo,
ADM-F-2365,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Tiempo Completo,Presencial,10-nov-17,Inactivo,25-ene-18
ADM-F-237,Administrativa,Finanzas y Contabilidad,Uruguay,Grado,Femenino,Medio Tiempo,Remoto,1-ene-13,Activo,
ADM-F-238,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Medio Tiempo,Remoto,1-ene-13,Activo,
ADM-F-239,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Parcial,Remoto,1-ene-13,Activo,
ADM-F-2394,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Tiempo Completo,Remoto,12-dic-17,Activo,
ADM-F-240,Administrativa,Finanzas y Contabilidad,Perú,Posgrado,Femenino,Tiempo Completo,Remoto,1-ene-13,Activo,
ADM-F-2406,Administrativa,Finanzas y Contabilidad,México,Posgrado,Femenino,Parcial,Remoto,25-dic-17,Inactivo,23-mar-20
ADM-F-241,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,1-ene-13,Activo,
ADM-F-242,Administrativa,Finanzas y Contabilidad,Perú,Grado,Femenino,Tiempo Completo,Remoto,1-ene-13,Activo,
ADM-F-243,Administrativa,Finanzas y Contabilidad,Uruguay,Grado,Femenino,Tiempo Completo,Presencial,1-ene-13,Activo,
ADM-F-2435,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Tiempo Completo,Presencial,23-ene-18,Inactivo,16-may-20
ADM-F-244,Administrativa,Finanzas y Contabilidad,Uruguay,Grado,Femenino,Tiempo Completo,Remoto,1-ene-13,Activo,
ADM-F-245,Administrativa,Finanzas y Contabilidad,Perú,Grado,Femenino,Tiempo Completo,Presencial,1-ene-13,Activo,
ADM-F-2456,Administrativa,Finanzas y Contabilidad,México,Posgrado,Femenino,Medio Tiempo,Presencial,20-feb-18,Activo,
ADM-F-246,Administrativa,Finanzas y Contabilidad,Perú,Grado,Femenino,Tiempo Completo,Presencial,1-ene-13,Activo,
ADM-F-2461,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Tiempo Completo,Remoto,22-feb-18,Inactivo,17-sept-20
ADM-F-2482,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Parcial,Presencial,11-mar-18,Activo,
ADM-F-2487,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,16-mar-18,Activo,
ADM-F-2495,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Parcial,Presencial,23-mar-18,Inactivo,13-ene-20
ADM-F-2499,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Tiempo Completo,Presencial,23-mar-18,Activo,
ADM-F-2503,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Tiempo Completo,Remoto,27-mar-18,Inactivo,8-oct-19
ADM-F-2505,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,28-mar-18,Inactivo,16-abr-20
ADM-F-2506,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,28-mar-18,Activo,
ADM-F-2512,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Tiempo Completo,Presencial,31-mar-18,Inactivo,29-jul-20
ADM-F-2514,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Medio Tiempo,Remoto,31-mar-18,Inactivo,4-sept-20
ADM-F-2531,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Remoto,15-abr-18,Activo,
ADM-F-2538,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Parcial,Remoto,21-abr-18,Inactivo,28-abr-20
ADM-F-2547,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Medio Tiempo,Presencial,30-abr-18,Inactivo,17-mar-20
ADM-F-2548,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,2-may-18,Inactivo,11-ago-18
ADM-F-2551,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Medio Tiempo,Remoto,4-may-18,Activo,
ADM-F-2553,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Parcial,Presencial,5-may-18,Inactivo,29-sept-20
ADM-F-2564,Administrativa,Finanzas y Contabilidad,México,Posgrado,Masculino,Medio Tiempo,Presencial,11-may-18,Inactivo,7-ago-19
ADM-F-2565,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Tiempo Completo,Remoto,11-may-18,Inactivo,31-ene-20
ADM-F-2568,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Tiempo Completo,Presencial,12-may-18,Activo,
ADM-F-2570,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Parcial,Remoto,13-may-18,Activo,
ADM-F-2576,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Remoto,17-may-18,Activo,
ADM-F-2600,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Medio Tiempo,Remoto,6-jun-18,Inactivo,15-jul-20
ADM-F-2605,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Medio Tiempo,Presencial,10-jun-18,Activo,
ADM-F-2620,Administrativa,Finanzas y Contabilidad,México,Posgrado,Masculino,Medio Tiempo,Presencial,23-jun-18,Activo,
ADM-F-2625,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Medio Tiempo,Remoto,28-jun-18,Inactivo,27-jun-20
ADM-F-2649,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Parcial,Presencial,21-jul-18,Activo,
ADM-F-2650,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,22-jul-18,Inactivo,23-mar-20
ADM-F-2658,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Parcial,Remoto,28-jul-18,Inactivo,3-mar-20
ADM-F-2670,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,6-ago-18,Activo,
ADM-F-2676,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Parcial,Presencial,13-ago-18,Activo,
ADM-F-2685,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Medio Tiempo,Presencial,26-ago-18,Activo,
ADM-F-2687,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Tiempo Completo,Presencial,30-ago-18,Activo,
ADM-F-27,Administrativa,Finanzas y Contabilidad,Perú,Grado,Masculino,Medio Tiempo,Presencial,1-ene-13,Inactivo,5-ene-14
ADM-F-2701,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Parcial,Presencial,12-sept-18,Inactivo,11-oct-19
ADM-F-2728,Administrativa,Finanzas y Contabilidad,México,Grado,Masculino,Tiempo Completo,Presencial,9-oct-18,Activo,
ADM-F-2729,Administrativa,Finanzas y Contabilidad,México,Grado,Femenino,Medio Tiempo,Presencial,12-oct-18,Activo,
